

FT	 ID	 AT	 WT	 ST	

2	 2	 0	 2	 0
3	 1	 0	 2	 1
4	 5	 1	 2	 1
4	 4	 1	 1	 2
5	 9	 2	 2	 1
5	 10	 2	 2	 1
5	 15	 2	 2	 1
5	 3	 0	 2	 3
6	 35	 5	 1	 0
6	 23	 4	 1	 1
6	 12	 2	 3	 1
6	 14	 2	 1	 3
6	 13	 2	 1	 3
7	 25	 5	 1	 1
7	 7	 2	 1	 4
7	 6	 2	 1	 4
8	 33	 5	 2	 1
8	 28	 5	 1	 2
8	 21	 4	 2	 2
8	 34	 5	 1	 2
8	 18	 4	 1	 3
8	 11	 2	 2	 4
9	 38	 6	 1	 2
9	 30	 5	 2	 2
9	 24	 5	 1	 3
9	 17	 4	 1	 4
9	 16	 3	 1	 5
10	 47	 9	 1	 0
10	 37	 5	 3	 2
10	 39	 6	 2	 2
10	 32	 5	 2	 3
10	 29	 5	 2	 3
10	 19	 4	 2	 4
10	 20	 4	 2	 4
11	 55	 9	 1	 1
11	 54	 9	 1	 1
11	 40	 7	 2	 2
11	 43	 8	 1	 2
12	 56	 9	 2	 1
12	 58	 10	 1	 1
12	 41	 8	 3	 1
12	 46	 8	 1	 3
12	 27	 5	 3	 4
13	 44	 8	 4	 1
13	 48	 9	 2	 2
13	 53	 9	 1	 3
13	 26	 5	 4	 4
13	 36	 5	 2	 6
14	 50	 9	 4	 1
14	 57	 10	 1	 3
14	 52	 9	 2	 3
14	 45	 8	 3	 3
15	 63	 13	 1	 1
15	 51	 9	 5	 1
15	 42	 8	 2	 5
17	 67	 15	 1	 1
17	 68	 15	 1	 1
17	 64	 14	 1	 2
17	 60	 11	 1	 5
18	 62	 13	 1	 4
19	 76	 18	 1	 0
19	 74	 17	 1	 1
19	 70	 16	 1	 2
19	 69	 15	 1	 3
20	 84	 19	 1	 0
20	 79	 18	 2	 0
20	 77	 18	 1	 1
20	 61	 12	 2	 6
21	 89	 20	 1	 0
21	 78	 18	 1	 2
21	 73	 17	 1	 3
21	 71	 17	 1	 3
22	 90	 20	 2	 0
22	 88	 20	 1	 1
22	 81	 19	 2	 1
22	 83	 19	 1	 2
23	 92	 20	 1	 2
23	 80	 18	 1	 4
23	 75	 18	 1	 4
24	 95	 21	 1	 2
24	 98	 21	 1	 2
24	 91	 20	 1	 3
24	 82	 19	 2	 3
24	 85	 19	 1	 4
25	 101	 23	 1	 1
26	 102	 23	 1	 2
26	 96	 21	 2	 3
26	 94	 21	 1	 4
26	 97	 21	 1	 4
26	 86	 19	 1	 6
27	 109	 26	 1	 0
27	 93	 20	 1	 6
28	 115	 26	 1	 1
28	 108	 26	 1	 1
28	 112	 26	 1	 1
28	 106	 25	 1	 2
28	 99	 21	 2	 5
29	 110	 26	 1	 2
29	 113	 26	 1	 2
29	 103	 24	 1	 4
29	 100	 22	 1	 6
30	 122	 28	 1	 1
30	 120	 28	 1	 1
30	 117	 27	 1	 2
30	 118	 27	 1	 2
30	 111	 26	 1	 3
31	 114	 26	 2	 3
31	 119	 27	 1	 3
32	 131	 31	 1	 0
32	 128	 30	 1	 1
32	 123	 28	 1	 3
33	 125	 29	 2	 2
33	 124	 29	 1	 3
33	 126	 29	 1	 3
33	 107	 26	 1	 6
34	 132	 31	 1	 2
35	 136	 33	 1	 1
35	 133	 31	 1	 3
35	 129	 30	 1	 4
36	 121	 28	 3	 5
37	 134	 32	 1	 4
38	 141	 37	 1	 0
38	 140	 35	 1	 2
39	 137	 33	 1	 5
39	 135	 32	 1	 6
40	 145	 39	 1	 0
40	 143	 38	 1	 1
40	 138	 34	 1	 5
41	 151	 40	 1	 0
41	 147	 39	 1	 1
41	 146	 39	 1	 1
41	 142	 38	 1	 2
42	 154	 41	 1	 0
43	 153	 41	 1	 1
43	 152	 41	 1	 1
43	 139	 35	 1	 7
44	 150	 40	 1	 3
45	 166	 42	 2	 1
45	 170	 42	 2	 1
45	 163	 42	 1	 2
45	 155	 41	 1	 3
45	 148	 40	 1	 4
46	 177	 45	 1	 0
46	 156	 41	 4	 1
46	 174	 42	 2	 2
46	 167	 42	 1	 3
46	 171	 42	 1	 3
46	 162	 42	 1	 3
46	 164	 42	 1	 3
47	 172	 42	 1	 4
48	 169	 42	 2	 4
48	 173	 42	 1	 5
49	 188	 47	 1	 1
49	 149	 40	 7	 2
49	 160	 42	 3	 4
49	 161	 42	 1	 6
49	 159	 41	 1	 7
50	 187	 47	 1	 2
50	 185	 46	 1	 3
50	 178	 45	 2	 3
50	 181	 46	 1	 3
50	 183	 46	 1	 3
50	 176	 45	 1	 4
50	 179	 45	 1	 4
50	 168	 42	 3	 5
51	 193	 50	 1	 0
51	 191	 49	 1	 1
51	 158	 41	 7	 3
52	 182	 46	 2	 4
52	 175	 42	 4	 6
53	 196	 51	 2	 0
53	 189	 48	 1	 4
55	 195	 51	 1	 3
55	 192	 49	 1	 5
55	 190	 49	 1	 5
56	 200	 54	 1	 1
57	 202	 54	 1	 2
57	 197	 52	 1	 4
58	 201	 54	 1	 3
59	 203	 54	 2	 3
60	 207	 57	 1	 2
60	 206	 56	 1	 3
60	 204	 55	 1	 4
61	 205	 56	 1	 4
61	 198	 53	 1	 7
62	 209	 60	 1	 1
63	 212	 61	 1	 1
64	 220	 61	 1	 2
64	 208	 59	 1	 4
65	 222	 62	 1	 2
65	 221	 61	 1	 3
66	 218	 61	 4	 1
66	 226	 63	 1	 2
66	 223	 63	 1	 2
66	 219	 61	 3	 2
66	 211	 61	 2	 3
66	 216	 61	 1	 4
66	 215	 61	 1	 4
68	 233	 65	 1	 2
68	 228	 63	 1	 4
68	 227	 63	 1	 4
69	 236	 67	 2	 0
69	 237	 67	 1	 1
69	 234	 65	 1	 3
69	 224	 63	 2	 4
70	 238	 67	 1	 2
70	 235	 65	 2	 3
71	 239	 68	 1	 2
71	 232	 64	 3	 4
72	 256	 70	 1	 1
72	 252	 70	 1	 1
72	 244	 69	 1	 2
72	 231	 64	 2	 6
72	 230	 64	 1	 7
73	 255	 70	 1	 2
73	 243	 69	 1	 3
73	 229	 64	 5	 4
74	 260	 71	 1	 2
74	 249	 70	 1	 3
74	 250	 70	 1	 3
74	 242	 69	 1	 4
74	 241	 69	 1	 4
74	 247	 69	 1	 4
75	 261	 73	 1	 1
75	 253	 70	 2	 3
75	 259	 71	 1	 3
75	 248	 69	 3	 3
75	 251	 70	 1	 4
75	 240	 69	 1	 5
76	 265	 73	 2	 1
76	 264	 73	 1	 2
76	 262	 73	 1	 2
76	 266	 73	 1	 2
76	 258	 71	 1	 4
76	 254	 70	 1	 5
