

FT	 ID	 AT	 WT	 ST	

2	 3	 1	 1	 0
3	 2	 0	 2	 1
4	 1	 0	 2	 2
6	 7	 4	 1	 1
6	 5	 3	 1	 2
7	 13	 6	 1	 0
7	 6	 4	 1	 2
8	 16	 6	 1	 1
8	 11	 5	 2	 1
8	 12	 5	 2	 1
9	 18	 8	 1	 0
9	 14	 6	 2	 1
9	 10	 5	 1	 3
10	 8	 5	 1	 4
10	 9	 5	 1	 4
11	 17	 8	 1	 2
13	 4	 3	 1	 9
14	 20	 9	 1	 4
14	 15	 6	 1	 7
15	 25	 12	 1	 2
16	 27	 13	 1	 2
16	 26	 13	 1	 2
16	 24	 12	 1	 3
16	 22	 11	 1	 4
17	 38	 16	 1	 0
17	 30	 13	 1	 3
17	 23	 11	 1	 5
17	 21	 10	 1	 6
18	 39	 16	 2	 0
18	 34	 15	 1	 2
19	 41	 18	 1	 0
20	 37	 16	 1	 3
21	 35	 15	 1	 5
21	 31	 13	 2	 6
21	 28	 13	 2	 6
22	 36	 16	 1	 5
22	 32	 14	 1	 7
23	 44	 20	 1	 2
23	 43	 20	 1	 2
25	 53	 24	 1	 0
25	 40	 17	 1	 7
26	 50	 23	 1	 2
26	 46	 22	 1	 3
26	 49	 22	 1	 3
27	 45	 21	 1	 5
28	 57	 26	 1	 1
28	 47	 22	 1	 5
30	 64	 29	 1	 0
30	 58	 26	 1	 3
30	 51	 24	 1	 5
31	 63	 28	 1	 2
31	 60	 27	 1	 3
31	 52	 24	 1	 6
32	 68	 30	 2	 0
32	 59	 27	 1	 4
32	 42	 20	 1	 11
33	 69	 31	 2	 0
33	 67	 30	 1	 2
33	 54	 24	 1	 8
34	 70	 32	 1	 1
34	 61	 27	 5	 2
34	 56	 25	 1	 8
34	 48	 22	 1	 11
35	 71	 33	 1	 1
35	 65	 30	 1	 4
36	 72	 34	 1	 1
37	 66	 30	 1	 6
38	 77	 37	 1	 0
39	 76	 36	 1	 2
40	 82	 39	 1	 0
41	 84	 39	 1	 1
41	 74	 36	 1	 4
42	 81	 38	 1	 3
42	 75	 36	 1	 5
43	 73	 35	 1	 7
44	 97	 43	 1	 0
44	 87	 42	 1	 1
44	 80	 37	 1	 6
45	 89	 43	 2	 0
45	 96	 43	 1	 1
46	 103	 44	 1	 1
46	 93	 43	 1	 2
47	 114	 46	 1	 0
47	 99	 44	 1	 2
47	 91	 43	 1	 3
48	 100	 44	 4	 0
48	 112	 46	 1	 1
48	 94	 43	 2	 3
49	 116	 47	 1	 1
49	 106	 44	 3	 2
49	 110	 45	 1	 3
49	 88	 42	 1	 6
49	 85	 41	 1	 7
50	 122	 49	 1	 0
50	 121	 49	 1	 0
50	 117	 47	 2	 1
50	 104	 44	 4	 2
50	 107	 45	 3	 2
50	 95	 43	 3	 4
50	 62	 28	 1	 21
51	 108	 45	 1	 5
51	 111	 45	 1	 5
51	 79	 37	 1	 13
52	 124	 50	 1	 1
52	 118	 49	 1	 2
52	 92	 43	 2	 7
52	 98	 44	 1	 7
53	 131	 51	 1	 1
54	 138	 52	 1	 1
54	 135	 52	 1	 1
54	 132	 52	 1	 1
54	 127	 51	 1	 2
54	 86	 42	 1	 11
55	 137	 52	 1	 2
55	 102	 44	 2	 9
56	 145	 55	 1	 0
56	 141	 54	 1	 1
56	 130	 51	 1	 4
56	 123	 50	 1	 5
56	 120	 49	 2	 5
56	 119	 49	 1	 6
57	 149	 56	 1	 0
57	 139	 54	 1	 2
57	 83	 39	 1	 17
58	 129	 51	 5	 2
58	 140	 54	 1	 3
58	 128	 51	 2	 5
59	 148	 56	 1	 2
59	 146	 56	 1	 2
60	 126	 51	 1	 8
61	 90	 43	 1	 17
63	 136	 52	 8	 3
64	 143	 55	 1	 8
68	 147	 56	 1	 11
69	 125	 51	 2	 16
................................................
................................................
Region A:
	Orders: 37 [Norm: 6 , Froz: 15, VIP: 16]
	Motors: 346[Norm: 323 , Froz: 22, VIP: 1]
	Avg Wait = 1, Avg Serv = 3
Region B:
	Orders: 35 [Norm: 8 , Froz: 12, VIP: 15]
	Motors: 38[Norm: 34 , Froz: 3, VIP: 1]
	Avg Wait = 1, Avg Serv = 3
Region C:
	Orders: 42 [Norm: 9 , Froz: 18, VIP: 15]
	Motors: 7[Norm: 5 , Froz: 0, VIP: 2]
	Avg Wait = 1, Avg Serv = 3
Region D:
	Orders: 21 [Norm: 5 , Froz: 9, VIP: 7]
	Motors: 74[Norm: 66 , Froz: 7, VIP: 1]
	Avg Wait = 1, Avg Serv = 5


Total Information for the whole restaurant:
	Orders: 135
	Motors: 465
	Avg Wait = 1 , Avg Serv = 3
